Place,Amount
Tortuga,212.0
sweetgreen,-20.0
publix,-57.0
nikki beach,-110.0
groceries,70.0
tacos,11.0
groceries,25.0
groceries,-51.0
palm tree,30.0
groceries,89.0
gift card,110.0
wedding gift,-107.5
